Build Order,Tool Name,Suggested Slug,Phase,Category,Primary Region,Primary Keyword,Traffic Potential,Ranking Difficulty,Required Inputs,Required Outputs,Core Calculation Logic,Maintenance,No Production API,Official / Reference Source,Internal-Link Cluster,Claude Implementation Notes,Build Status
40,Significant Figures Calculator,/significant-figures-calculator/,Phase 2,Math & Statistics,Global,significant figures calculator,High,High,Number/expression and required significant figures,Rounded value and sig-fig count,Apply standard significant-figure and operation rules,Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
41,Quadratic Equation Calculator,/quadratic-equation-calculator/,Phase 2,Math & Statistics,Global,quadratic equation calculator,High,High,"a, b, c","Roots, discriminant, vertex, axis",Quadratic formula and vertex formulas,Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
42,Linear Equation and Slope Calculator,/linear-equation-and-slope-calculator/,Phase 2,Math & Statistics,Global,linear equation and slope calculator,High,High,Two points or slope/intercept,"Slope, intercept, equation and distance",m=(y2−y1)/(x2−x1); derive intercept,Evergreen,Yes,https://www.calculatorsoup.com/,Math & Statistics,,Not Started
43,Data Storage and Transfer Time Calculator,/data-storage-and-transfer-time-calculator/,Phase 2,Technology,Global,data storage and transfer time calculator,Medium,Medium,"File size, unit, transfer speed, overhead",Converted size and estimated transfer time,Bits ÷ effective bits per second,Evergreen,Yes,https://www.calculatorsoup.com/,Technology,,Not Started
44,Pay Raise Calculator,/pay-raise-calculator/,Phase 2,Career & Pay,Global,pay raise calculator,High,High,"Current pay, raise percent or new pay, frequency",New pay and differences by period,New=old×(1+raise rate),Evergreen,Yes,https://www.calculator.net/,Career & Pay,,Not Started
45,Overtime Pay Calculator,/overtime-pay-calculator/,Phase 2,Career & Pay,Global,overtime pay calculator,High,High,"Base rate, regular/overtime hours, threshold, multiplier","Regular, overtime and total pay",Base×regular hours + base×multiplier×overtime hours,Evergreen; user defines local rule,Yes,https://www.dol.gov/agencies/whd/overtime/tools,Career & Pay,,Not Started
46,Sales Commission Calculator,/sales-commission-calculator/,Phase 2,Career & Business,Global,sales commission calculator,Medium,Medium,"Sales, flat/tiered rates, quota, accelerators, base pay","Commission, attainment and total earnings",Apply selected flat or cumulative tier formula,Evergreen,Yes,https://www.calculatorsoup.com/,Career & Pay,,Not Started
47,PTO Accrual Calculator,/pto-accrual-calculator/,Phase 2,Career & Pay,Global,pto accrual calculator,Medium,Medium,"Accrual rule, hours/periods worked, starting balance, usage, cap",Earned PTO and balance,"Starting + accrued − used, constrained by cap",Evergreen; user defines policy,Yes,https://www.calculatorsoup.com/,Career & Pay,,Not Started
48,Notice Period End Date Calculator,/notice-period-end-date-calculator/,Phase 2,Career & Pay,Global,notice period end date calculator,Medium,Medium,"Notice date, length, calendar/business day mode, holidays",Last working day and handover duration,Date arithmetic excluding selected weekends/holidays,Evergreen,Yes,https://www.calculatorsoup.com/,Career & Pay,,Not Started
49,Work Experience Duration Calculator,/work-experience-duration-calculator/,Phase 2,Career & Pay,Global / India focus,work experience duration calculator,High,Medium,"Multiple employment start/end dates, overlap rule",Total experience and role breakdown,Merge overlapping date intervals then sum duration,Evergreen,Yes,https://www.calculatorsoup.com/,Career & Pay,,Not Started
50,ROAS and Advertising Metrics Calculator,/roas-and-advertising-metrics-calculator/,Phase 2,Business & Marketing,Global,roas and advertising metrics calculator,High,High,"Spend, revenue, impressions, clicks, conversions, margin","ROAS, CPM, CPC, CPA, CTR, conversion rate, break-even ROAS",Standard paid-media ratios; break-even ROAS=1/gross margin,Evergreen,Yes,https://www.omnicalculator.com/,Marketing Metrics,,Not Started
51,Customer Acquisition Cost Calculator,/customer-acquisition-cost-calculator/,Phase 2,Business & Marketing,Global,customer acquisition cost calculator,High,High,Marketing/sales costs and customers acquired,Blended/channel CAC,Acquisition costs ÷ new customers,Evergreen,Yes,https://www.omnicalculator.com/,Marketing Metrics,,Not Started
52,Customer Lifetime Value Calculator,/customer-lifetime-value-calculator/,Phase 2,Business & Marketing,Global,customer lifetime value calculator,High,High,"AOV, purchase frequency, lifespan/churn, gross margin","Revenue LTV, gross-profit LTV and LTV:CAC",AOV×frequency×lifespan×margin,Evergreen,Yes,https://www.omnicalculator.com/,Marketing Metrics,,Not Started
53,Conversion Rate Calculator,/conversion-rate-calculator/,Phase 2,Business & Marketing,Global,conversion rate calculator,High,High,"Visitors/leads, conversions, target rate","Current rate, gap and traffic required",Conversions ÷ visitors; solve target traffic,Evergreen,Yes,https://www.omnicalculator.com/,Marketing Metrics,,Not Started
54,Average Order Value Calculator,/average-order-value-calculator/,Phase 2,Business & Marketing,Global,average order value calculator,Medium,Medium,"Revenue, orders, target uplift",AOV and projected revenue,Revenue ÷ orders,Evergreen,Yes,https://www.omnicalculator.com/,Marketing Metrics,,Not Started
55,Inventory Turnover Calculator,/inventory-turnover-calculator/,Phase 2,Business & Operations,Global,inventory turnover calculator,Medium,Medium,"COGS, beginning/ending inventory, period","Average inventory, turnover, days inventory",COGS ÷ average inventory,Evergreen,Yes,https://www.calculatorsoup.com/,Business Operations,,Not Started
56,Reorder Point Calculator,/reorder-point-calculator/,Phase 2,Business & Operations,Global,reorder point calculator,Medium,Medium,"Daily demand, lead time, safety stock",Lead-time demand and reorder point,Demand×lead time + safety stock,Evergreen,Yes,https://www.calculatorsoup.com/,Business Operations,,Not Started
57,Economic Order Quantity Calculator,/economic-order-quantity-calculator/,Phase 2,Business & Operations,Global,economic order quantity calculator,Medium,Medium,"Annual demand, order cost, holding cost","EOQ, orders/year and relevant cost",SQRT(2×demand×order cost/holding cost),Evergreen,Yes,https://www.calculatorsoup.com/,Business Operations,,Not Started
58,Cash Runway Calculator,/cash-runway-calculator/,Phase 2,Business & Finance,Global,cash runway calculator,Medium,Medium,"Cash balance, inflows, outflows, optional monthly changes","Net burn, runway months and zero-cash date",Cash ÷ monthly net burn with optional month-by-month projection,Evergreen,Yes,https://www.calculator.net/,Business Finance,,Not Started
59,Sales Growth and CAGR Calculator,/sales-growth-and-cagr-calculator/,Phase 2,Business & Finance,Global,sales growth and cagr calculator,High,High,"Beginning value, ending value, periods","Absolute growth, growth rate and CAGR",CAGR=(ending/beginning)^(1/periods)−1,Evergreen,Yes,https://www.calculatorsoup.com/,Business Finance,,Not Started
60,VAT and GST Calculator,/vat-and-gst-calculator/,Phase 2,Business & Finance,Global,vat and gst calculator,High,High,"Net/gross amount, user-entered tax rate, inclusive/exclusive mode","Tax, net and gross amounts",Gross=net×(1+rate); reverse for inclusive amount,Evergreen; user enters current rate,Yes,https://www.calculatorsoup.com/,Business Finance,,Not Started
61,Compound Interest Calculator,/compound-interest-calculator/,Phase 3,Personal Finance,Global,compound interest calculator,Very High,Very High,"Principal, rate, time, compounding, regular contributions","Future value, contributions, interest and schedule",Compound future value plus annuity contributions,Evergreen,Yes,https://www.investor.gov/financial-tools-calculators/calculators/compound-interest-calculator,Debt & Savings,,Not Started
62,Simple Interest Calculator,/simple-interest-calculator/,Phase 3,Personal Finance,Global,simple interest calculator,High,High,"Principal, rate and time",Interest and final value,Interest=principal×rate×time,Evergreen,Yes,https://www.calculatorsoup.com/,Debt & Savings,,Not Started
63,Emergency Fund Calculator,/emergency-fund-calculator/,Phase 3,Personal Finance,Global,emergency fund calculator,Medium,Medium,"Essential monthly costs, dependants, stability, current savings","Recommended range, gap and savings plan",Essential costs × recommended months,Evergreen,Yes,https://www.calculator.net/,Debt & Savings,,Not Started
64,Debt-to-Income Ratio Calculator,/debt-to-income-ratio-calculator/,Phase 3,Personal Finance,Global,debt-to-income ratio calculator,High,High,Gross income and recurring debt payments,DTI ratio and user-defined risk band,Monthly debt ÷ gross monthly income,Evergreen,Yes,https://www.cmhc-schl.gc.ca/consumers/home-buying/calculators,Debt & Savings,,Not Started
65,Net Worth Calculator,/net-worth-calculator/,Phase 3,Personal Finance,Global,net worth calculator,High,High,Assets and liabilities,Net worth and category mix,Total assets − total liabilities,Evergreen,Yes,https://moneysmart.gov.au/,Debt & Savings,,Not Started
66,Discount and Sale Price Calculator,/discount-and-sale-price-calculator/,Phase 3,Everyday,Global,discount and sale price calculator,High,Very High,"Original price, stacked discounts, optional tax","Savings, sale and final checkout price",Apply sequential discounts then optional tax,Evergreen,Yes,https://www.calculatorsoup.com/,Everyday,,Not Started
67,Date Difference and Business Days Calculator,/date-difference-and-business-days-calculator/,Phase 3,Everyday,Global,date difference and business days calculator,High,Very High,"Start/end dates, weekend pattern, holidays","Calendar days, weekdays, weeks and finish date",Date difference with configurable exclusions,Evergreen,Yes,https://www.calculatorsoup.com/,Everyday,,Not Started
68,Fuel Cost Calculator,/fuel-cost-calculator/,Phase 3,Everyday,Global,fuel cost calculator,High,High,"Distance, economy, fuel price, trip frequency",Fuel used and trip/month/year cost,Distance ÷ economy × fuel price,Evergreen; user enters fuel price,Yes,https://www.calculatorsoup.com/,Everyday,,Not Started
69,Electricity Bill Estimator,/electricity-bill-estimator/,Phase 3,Everyday,Global,electricity bill estimator,High,High,"Appliance watts, hours, days, tariff, fixed charges",kWh and appliance/total cost,Watts/1000×hours×days×tariff + fixed charges,Evergreen; user enters tariff,Yes,https://www.omnicalculator.com/,Everyday,,Not Started
70,BMR and TDEE Calculator,/bmr-and-tdee-calculator/,Phase 3,Health,Global,bmr and tdee calculator,Very High,Very High,"Age, sex, height, weight, activity","BMR, TDEE and maintenance range",Mifflin-St Jeor BMR × activity factor,Review health guidance,Yes,https://www.calculator.net/,Health,Educational estimate with visible limitations; do not give medical advice.,Not Started
71,US Federal Income Tax Calculator 2026,/us-federal-income-tax-calculator-2026/,Phase 3,Regional Pay & Tax,USA,us federal income tax calculator 2026,Very High,Very High,"Income, filing status, deductions, credits, withholding","Tax, marginal/effective rate, refund/due estimate","Versioned IRS brackets, deductions and supported credits",Update annually,Yes,https://www.irs.gov/filing/federal-income-tax-rates-and-brackets,USA Tools,,Not Started
72,US Paycheck Calculator,/us-paycheck-calculator/,Phase 3,Regional Pay & Tax,USA,us paycheck calculator,Very High,Very High,"Salary/rate, state, pay frequency, filing data, deductions",Federal/FICA/state deductions and net pay,"Versioned federal, FICA and state withholding tables",Update annually,Yes,https://www.irs.gov/filing/federal-income-tax-rates-and-brackets,USA Tools,,Not Started
73,US Federal Student Loan Repayment Calculator,/us-federal-student-loan-repayment-calculator/,Phase 3,Regional Student Finance,USA,us federal student loan repayment calculator,High,Very High,"Loan balance/rate, income, household size, plan","Payment, total paid and timeline",Versioned federal repayment-plan formulas,Monitor policy changes,Yes,https://studentaid.gov/articles/compare-student-loan-repayment-plans-calculator/,USA Tools,"If current rules cannot be verified, mark BLOCKED-VERIFICATION rather than guessing.",Not Started
74,US FLSA Overtime Calculator,/us-flsa-overtime-calculator/,Phase 3,Regional Employment,USA,us flsa overtime calculator,High,High,"Regular rate, workweek hours, bonuses, commissions","Regular rate, overtime premium and total pay",Apply FLSA regular-rate and 1.5× rules for supported cases,Monitor federal/state rules,Yes,https://www.dol.gov/agencies/whd/overtime/tools,USA Tools,,Not Started
75,US 401(k) Contribution Calculator,/us-401-k-contribution-calculator/,Phase 3,Regional Retirement,USA,us 401(k) contribution calculator,High,High,"Salary, employee rate, employer match, limits, pay frequency","Annual contributions, match and remaining limit",Apply selected contribution and match formula with annual limits,Update annually,Yes,https://www.irs.gov/filing/federal-income-tax-rates-and-brackets,USA Tools,,Not Started
76,US 529 College Savings Calculator,/us-529-college-savings-calculator/,Phase 3,Regional Student Finance,USA,us 529 college savings calculator,Medium,High,"Current savings, contribution, return, years, college-cost inflation",Projected balance and funding gap,Future value versus inflation-adjusted education goal,Review annual limits/guidance,Yes,https://www.investor.gov/financial-tools-calculators/calculators/compound-interest-calculator,USA Tools,,Not Started
77,UK Self-Assessment Tax Calculator,/uk-self-assessment-tax-calculator/,Phase 3,Regional Pay & Tax,UK,uk self-assessment tax calculator,High,Very High,"Self-employed profit, other income, allowance, expenses","Income tax, Class 4 NI and estimated bill",Versioned UK self-assessment brackets and NI,Update each UK tax year,Yes,https://www.gov.uk/guidance/hmrc-tools-and-calculators,UK Tools,,Not Started
78,UK VAT Calculator,/uk-vat-calculator/,Phase 3,Regional Business Tax,UK,uk vat calculator,High,High,"Net/gross amount, rate category, inclusive/exclusive","VAT, net and gross",Apply selected current UK VAT rate,Monitor VAT rates,Yes,https://www.gov.uk/vat-rates,UK Tools,,Not Started
79,Canada Take-Home Pay Calculator,/canada-take-home-pay-calculator/,Phase 3,Regional Pay & Tax,Canada,canada take-home pay calculator,Very High,Very High,"Income, province, pay frequency, credits/deductions","Federal/provincial tax, CPP/QPP, EI and net pay",Versioned federal/provincial brackets plus payroll contributions,Update annually,Yes,https://www.fcac-acfc.gc.ca/,Canada Tools,,Not Started
80,Canada RRSP Tax Savings Calculator,/canada-rrsp-tax-savings-calculator/,Phase 3,Regional Retirement,Canada,canada rrsp tax savings calculator,High,High,"Income, province, RRSP contribution",Estimated tax before/after and marginal savings,Recalculate federal/provincial tax after deductible contribution,Update annually,Yes,https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/rrsps-related-plans.html,Canada Tools,,Not Started
81,Canada TFSA Growth Calculator,/canada-tfsa-growth-calculator/,Phase 3,Regional Retirement,Canada,canada tfsa growth calculator,Medium,Medium,"Starting balance, contributions, return, years, room",Projected growth and contribution-room usage,Compound future value with contribution tracking,Review annual TFSA limit,Yes,https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/tax-free-savings-account.html,Canada Tools,,Not Started
82,Australia Take-Home Pay Calculator,/australia-take-home-pay-calculator/,Phase 3,Regional Pay & Tax,Australia,australia take-home pay calculator,Very High,Very High,"Taxable income, residency, Medicare, HELP, frequency","Tax, Medicare, HELP and net pay",Versioned Australian tax and levy tables,Update each financial year,Yes,https://www.ato.gov.au/calculators-and-tools,Australia Tools,,Not Started
83,Australia HELP Repayment Calculator,/australia-help-repayment-calculator/,Phase 3,Regional Student Finance,Australia,australia help repayment calculator,High,High,"Repayment income, debt balance, financial year",Compulsory repayment and remaining balance estimate,Apply versioned HELP repayment thresholds/rates,Update each financial year,Yes,https://www.ato.gov.au/calculators-and-tools,Australia Tools,,Not Started
84,Australia GST Calculator,/australia-gst-calculator/,Phase 3,Regional Business Tax,Australia,australia gst calculator,High,High,Net/gross amount and inclusive/exclusive mode,"GST, net and gross",10% GST with reverse inclusive calculation; allow rule notes,Monitor GST rules,Yes,https://www.ato.gov.au/calculators-and-tools,Australia Tools,,Not Started
